Course,ID
"ENGR 201","1.1000000000000001"
"ENGR 211","1.1000000000000001"
"ENGR 438","1.1000000000000001"
"CEE 465","1.1000000000000001"
"ENGR 201","1.2"
"ENGR 211","1.2"
"ENGR 301","1.2"
"ENGR 331","1.2"
"ENGR 438","1.2"
"ENGR 211","1.3"
"ENGR 331","1.3"
"CEE 372","1.3"
"ENGR 438","1.3"
"CEE 465","1.3"
"CEE 497","2.1"
"CEE 497","2.2000000000000002"
"CEE 465","2.2999999999999998"
"CEE 497","2.2999999999999998"
"ENGR 441","2.2999999999999998"
"ENGR 442","2.2999999999999998"
"ENGR 106","3.1"
"ENGR 441","3.1"
"ENGR 442","3.1"
"ENGR 441","3.2"
"ENGR 442","3.2"
"ENGR 102","3.3"
"ENGR 441","3.3"
"ENGR 442","3.3"
"ENGR 102","3.4"
"ENGR 441","3.4"
"ENGR 442","3.4"
"ENGR 401","4.0999999999999996"
"ENGR 102","4.2"
"ENGR 401","4.2"
"ENGR 401","4.3"
"ENGR 102","5.0999999999999996"
"ENGR 441","5.0999999999999996"
"ENGR 442","5.0999999999999996"
"ENGR 102","5.2"
"ENGR 441","5.2"
"ENGR 442","5.2"
"ENGR 102","5.3"
"ENGR 441","5.3"
"ENGR 442","5.3"
"CEE 367","6.1"
"CEE 367","6.2"
"ENGR 441","7.1"
"ENGR 442","7.1"
"ENGR 441","7.2"
"ENGR 442","7.2"
